Subject,Session,Trials Measured,Trials Meta,Electrodes,Region Mapping
2,8,44,46,64,"{'Amygdala': array([16, 24, 25], dtype=int64), 'Fusiform Gyrus': array([ 1,  8,  9, 57], dtype=int64), 'Hippocampus': array([ 0, 48, 56], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 11, 12, 13, 14, 21, 22, 23, 29, 30, 31, 36, 37, 38, 39,
       45, 46, 52, 53, 54, 60, 61, 62, 63], dtype=int64), 'Parahippocampal Gyrus': array([32, 40, 41], dtype=int64), 'unspecific': array([ 2,  3,  4, 10, 15, 17, 18, 19, 20, 26, 27, 28, 33, 34, 35, 42, 43,
       44, 47, 49, 50, 51, 55, 58, 59], dtype=int64)}"
2,9,49,49,64,"{'Amygdala': array([16, 24, 25], dtype=int64), 'Fusiform Gyrus': array([ 1,  8,  9, 57], dtype=int64), 'Hippocampus': array([ 0, 48, 56], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 11, 12, 13, 14, 21, 22, 23, 29, 30, 31, 36, 37, 38, 39,
       45, 46, 52, 53, 54, 60, 61, 62, 63], dtype=int64), 'Parahippocampal Gyrus': array([32, 40, 41], dtype=int64), 'unspecific': array([ 2,  3,  4, 10, 15, 17, 18, 19, 20, 26, 27, 28, 33, 34, 35, 42, 43,
       44, 47, 49, 50, 51, 55, 58, 59], dtype=int64)}"
2,10,50,50,64,"{'Amygdala': array([16, 24, 25], dtype=int64), 'Fusiform Gyrus': array([ 1,  8,  9, 57], dtype=int64), 'Hippocampus': array([ 0, 48, 56], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 11, 12, 13, 14, 21, 22, 23, 29, 30, 31, 36, 37, 38, 39,
       45, 46, 52, 53, 54, 60, 61, 62, 63], dtype=int64), 'Parahippocampal Gyrus': array([32, 40, 41], dtype=int64), 'unspecific': array([ 2,  3,  4, 10, 15, 17, 18, 19, 20, 26, 27, 28, 33, 34, 35, 42, 43,
       44, 47, 49, 50, 51, 55, 58, 59], dtype=int64)}"
3,1,47,47,40,"{'Amygdala': array([16, 17], dtype=int64), 'Fusiform Gyrus': array([ 3,  4, 11, 20, 26, 34, 36], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 10, 32, 33], dtype=int64), 'Inferior Temporal Gyrus': array([ 5,  6,  7, 14, 22, 28, 37, 38, 39], dtype=int64), 'Middle Temporal Gyrus': array([15, 23, 29, 30, 31], dtype=int64), 'Parahippocampal Gyrus': array([24, 25], dtype=int64), 'unspecific': array([12, 13, 18, 19, 21, 27, 35], dtype=int64)}"
3,2,50,50,40,"{'Amygdala': array([16, 17], dtype=int64), 'Fusiform Gyrus': array([ 3,  4, 11, 20, 26, 34, 36], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 10, 32, 33], dtype=int64), 'Inferior Temporal Gyrus': array([ 5,  6,  7, 14, 22, 28, 37, 38, 39], dtype=int64), 'Middle Temporal Gyrus': array([15, 23, 29, 30, 31], dtype=int64), 'Parahippocampal Gyrus': array([24, 25], dtype=int64), 'unspecific': array([12, 13, 18, 19, 21, 27, 35], dtype=int64)}"
3,3,50,50,40,"{'Amygdala': array([16, 17], dtype=int64), 'Fusiform Gyrus': array([ 3,  4, 11, 20, 26, 34, 36], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  8,  9, 10, 32, 33], dtype=int64), 'Inferior Temporal Gyrus': array([ 5,  6,  7, 14, 22, 28, 37, 38, 39], dtype=int64), 'Middle Temporal Gyrus': array([15, 23, 29, 30, 31], dtype=int64), 'Parahippocampal Gyrus': array([24, 25], dtype=int64), 'unspecific': array([12, 13, 18, 19, 21, 27, 35], dtype=int64)}"
4,1,49,49,64,"{'Amygdala': array([16, 17, 24, 25], dtype=int64), 'Fusiform Gyrus': array([2], dtype=int64), 'Hippocampus': array([ 0,  1,  8, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([4], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 11, 12, 13, 14, 21, 22, 30, 38, 39, 52, 54, 55, 61, 62],
      dtype=int64), 'Parahippocampal Gyrus': array([32, 33, 40], dtype=int64), 'Superior Temporal Gyrus': array([29, 44, 45], dtype=int64), 'unspecific': array([ 3,  9, 10, 15, 18, 19, 20, 23, 26, 27, 28, 31, 34, 35, 36, 37, 41,
       42, 43, 46, 47, 50, 51, 53, 58, 59, 60, 63], dtype=int64)}"
4,2,50,50,64,"{'Amygdala': array([16, 17, 24, 25], dtype=int64), 'Fusiform Gyrus': array([2], dtype=int64), 'Hippocampus': array([ 0,  1,  8, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([4], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 11, 12, 13, 14, 21, 22, 30, 38, 39, 52, 54, 55, 61, 62],
      dtype=int64), 'Parahippocampal Gyrus': array([32, 33, 40], dtype=int64), 'Superior Temporal Gyrus': array([29, 44, 45], dtype=int64), 'unspecific': array([ 3,  9, 10, 15, 18, 19, 20, 23, 26, 27, 28, 31, 34, 35, 36, 37, 41,
       42, 43, 46, 47, 50, 51, 53, 58, 59, 60, 63], dtype=int64)}"
5,1,50,50,32,"{'Fusiform Gyrus': array([16, 17, 18, 25], dtype=int64), 'Hippocampus': array([ 0,  1,  8,  9, 10, 24], dtype=int64), 'Inferior Parietal Lobule': array([23], dtype=int64), 'Inferior Temporal Gyrus': array([27, 28, 29], dtype=int64), 'Middle Temporal Gyrus': array([ 6, 13, 14, 15, 30], dtype=int64), 'Superior Temporal Gyrus': array([12], dtype=int64), 'posterior Superior Temporal Sulcus': array([22], dtype=int64), 'unspecific': array([ 2,  3,  4,  5,  7, 11, 19, 20, 21, 26, 31], dtype=int64)}"
5,2,50,50,32,"{'Fusiform Gyrus': array([16, 17, 18, 25], dtype=int64), 'Hippocampus': array([ 0,  1,  8,  9, 10, 24], dtype=int64), 'Inferior Parietal Lobule': array([23], dtype=int64), 'Inferior Temporal Gyrus': array([27, 28, 29], dtype=int64), 'Middle Temporal Gyrus': array([ 6, 13, 14, 15, 30], dtype=int64), 'Superior Temporal Gyrus': array([12], dtype=int64), 'posterior Superior Temporal Sulcus': array([22], dtype=int64), 'unspecific': array([ 2,  3,  4,  5,  7, 11, 19, 20, 21, 26, 31], dtype=int64)}"
